frame_number,timestamp,class_name,class_id,confidence,x1,y1,x2,y2,box_width,box_height,frame_width,frame_height
26,7.328,person,0,0.5482,47,1,639,477,592,476,640,480
30,8.29,person,0,0.8084,0,76,637,479,637,403,640,480
31,8.502,person,0,0.7558,0,32,640,479,640,447,640,480
32,8.726,person,0,0.706,2,0,640,478,638,478,640,480
33,8.95,person,0,0.8895,1,1,639,478,638,477,640,480
34,9.182,person,0,0.9391,0,0,640,479,640,479,640,480
35,9.446,person,0,0.9366,0,0,638,477,638,477,640,480
36,9.702,person,0,0.9561,1,0,638,478,637,478,640,480
37,9.953,person,0,0.924,3,0,637,478,634,478,640,480
38,10.211,person,0,0.8926,2,0,640,478,638,478,640,480
39,10.456,person,0,0.8592,0,53,639,478,639,425,640,480
40,10.704,person,0,0.8698,0,72,638,478,638,406,640,480
41,10.93,person,0,0.8483,0,76,634,478,634,402,640,480
42,11.154,person,0,0.853,0,81,638,478,638,397,640,480
43,11.373,person,0,0.8405,0,82,638,479,638,397,640,480
44,11.59,person,0,0.8518,0,85,637,479,637,394,640,480
45,11.791,person,0,0.8516,0,80,638,477,638,397,640,480
46,11.994,person,0,0.8595,0,82,639,479,639,397,640,480
47,12.214,person,0,0.8412,0,85,638,479,638,394,640,480
48,12.407,person,0,0.8675,0,94,627,479,627,385,640,480
49,12.627,person,0,0.8644,0,92,631,479,631,387,640,480
50,12.851,person,0,0.8787,0,86,635,479,635,393,640,480
51,13.07,person,0,0.8221,3,84,607,478,604,394,640,480
52,13.26,person,0,0.8284,0,84,618,479,618,395,640,480
53,13.439,person,0,0.8147,0,80,627,479,627,399,640,480
54,13.647,person,0,0.8227,1,82,621,479,620,397,640,480
55,13.845,person,0,0.5009,0,72,599,478,599,406,640,480
56,14.05,person,0,0.5748,1,30,610,479,609,449,640,480
58,14.448,person,0,0.6666,5,8,493,479,488,471,640,480
59,14.657,person,0,0.6176,2,10,551,480,549,470,640,480
60,14.856,dog,16,0.7265,6,23,602,478,596,455,640,480
61,15.057,person,0,0.5034,2,5,630,480,628,475,640,480
62,15.275,person,0,0.6444,1,65,613,479,612,414,640,480
63,15.455,person,0,0.6046,3,14,637,479,634,465,640,480
64,15.674,person,0,0.6892,1,69,366,478,365,409,640,480
65,15.87,person,0,0.7394,1,71,351,478,350,407,640,480
66,16.074,person,0,0.5307,1,69,359,479,358,410,640,480
67,16.288,person,0,0.541,0,70,338,479,338,409,640,480
68,16.503,person,0,0.7022,0,68,345,478,345,410,640,480
69,16.721,person,0,0.7762,0,70,354,479,354,409,640,480
70,16.93,person,0,0.7245,0,69,352,479,352,410,640,480
71,17.155,person,0,0.7546,0,68,431,479,431,411,640,480
72,17.378,person,0,0.7015,0,68,348,479,348,411,640,480
72,17.378,dog,16,0.6319,225,41,640,478,415,437,640,480
73,17.61,person,0,0.6591,2,76,289,477,287,401,640,480
74,17.837,person,0,0.6466,0,0,638,478,638,478,640,480
74,17.837,person,0,0.6151,1,79,308,479,307,400,640,480
75,18.046,person,0,0.6178,1,80,327,479,326,399,640,480
76,18.266,person,0,0.7113,0,1,638,478,638,477,640,480
77,18.473,person,0,0.6057,0,82,341,479,341,397,640,480
78,18.672,person,0,0.7301,0,77,299,479,299,402,640,480
79,18.875,person,0,0.6022,0,73,290,479,290,406,640,480
80,19.072,person,0,0.7,0,71,312,479,312,408,640,480
81,19.322,person,0,0.5318,1,73,307,478,306,405,640,480
82,19.571,person,0,0.8593,1,70,318,479,317,409,640,480
83,19.807,person,0,0.7994,0,71,338,479,338,408,640,480
84,20.059,person,0,0.7359,2,69,355,478,353,409,640,480
85,20.295,person,0,0.6591,1,66,374,479,373,413,640,480
86,20.541,person,0,0.5929,1,66,390,479,389,413,640,480
87,20.83,person,0,0.7431,0,60,404,479,404,419,640,480
88,21.09,person,0,0.5465,6,57,624,478,618,421,640,480
89,21.344,person,0,0.7101,1,71,615,479,614,408,640,480
90,21.599,person,0,0.6487,5,74,621,479,616,405,640,480
91,21.864,person,0,0.6516,2,78,612,478,610,400,640,480
92,22.107,person,0,0.6823,3,76,629,480,626,404,640,480
93,22.376,person,0,0.5734,1,64,638,479,637,415,640,480
94,22.623,person,0,0.5492,3,58,632,478,629,420,640,480
95,22.896,person,0,0.6336,184,47,619,479,435,432,640,480
96,23.153,person,0,0.5966,0,106,624,479,624,373,640,480
97,23.43,person,0,0.8589,0,102,588,479,588,377,640,480
98,23.701,person,0,0.8495,0,108,621,479,621,371,640,480
99,23.974,person,0,0.721,0,103,525,479,525,376,640,480
99,23.974,remote,65,0.5028,116,232,172,324,56,92,640,480
100,24.252,person,0,0.6907,0,10,638,478,638,468,640,480
